ms,bytes
0,6026
97,11978
200,17915
303,23787
404,29570
505,35271
608,40772
709,46097
811,51328
911,56433
1012,61445
1113,66427
1216,71423
1316,76520
1417,81890
1518,87587
1618,93609
1718,99955
1819,106566
1919,113408
2019,120569
2119,127895
2220,135366
2320,142886
2421,150441
2521,158005
2621,165680
2722,173445
2822,181227
2926,189089
3029,197051
3129,204939
3229,212755
3331,220401
3431,227841
3532,235074
3633,242166
3733,249045
3836,255749
3937,262296
4037,268740
4138,275083
4238,281325
4340,287483
4443,293581
