ms,bps
0,1.6069333333333332E7
92,732553.8461538461
195,510709.67741935485
297,510608.69565217395
400,486989.4736842105
503,485191.4893617021
606,463242.10526315786
707,453191.4893617021
808,445191.4893617021
909,429894.7368421053
1010,426553.1914893617
1110,424000.0
1211,425191.4893617021
1311,438451.6129032258
1412,457021.27659574465
1512,484851.06382978725
1615,507115.7894736842
1717,534400.0
1818,562638.2978723404
1920,608177.7777777778
2020,636533.3333333334
2121,616926.3157894737
2222,635829.7872340425
2322,646881.7204301076
2422,656956.5217391305
2523,643744.6808510638
2623,653191.4893617021
2725,653894.7368421053
2827,1055186.4406779662
2932,641795.9183673469
3036,663500.0
3140,693450.5494505494
3245,687120.8791208791
3349,643873.6842105263
3454,640000.0
3558,596536.0824742268
3662,584907.2164948453
3762,591741.935483871
3862,589362.6373626373
3965,551326.3157894737
4069,537000.0
4174,517795.9183673469
4278,520166.6666666666
4383,513166.6666666666
4487,502927.8350515464
4592,499628.86597938143
4696,498144.3298969072
4801,490285.71428571426
4907,477252.5252525252
5010,492333.3333333333
